item_id,title,category,year,season,sale_price,cost_price,profit_margin,monthly_sales,competitor_shops,shop_name,tags,link,rating,review_count
T0025,2024秋季 小个子冰丝阔腿裤 薄荷绿,阔腿裤,2024,秋季,284.09,132.39,0.534,1103,37,岛屿穿搭,"阔腿裤,女装,秋季,2024,小个子,冰丝,薄荷绿",https://example.com/item/0025,4.45,4516
T0026,2024春季 显瘦真丝防晒衫 粉色,防晒衫,2024,春季,375.64,310.33,0.1739,1090,74,岛屿穿搭,"防晒衫,女装,春季,2024,显瘦,真丝,粉色,透气,防晒",https://example.com/item/0026,4.9,2229
T0027,2025夏季 气质雪纺雪纺衫 粉色,雪纺衫,2025,夏季,377.63,137.18,0.6367,598,122,风铃女装,"雪纺衫,女装,夏季,2025,气质,雪纺,粉色,透气,飘逸",https://example.com/item/0027,4.29,660
T0028,2024秋季 轻薄真丝衬衫 卡其,衬衫,2024,秋季,289.62,234.25,0.1912,1666,143,蔷薇工坊,"衬衫,女装,秋季,2024,轻薄,真丝,卡其",https://example.com/item/0028,4.6,1521
T0029,2024冬季 ins风冰丝连衣裙 白色,连衣裙,2024,冬季,165.74,59.85,0.6389,542,77,海盐衣橱,"连衣裙,女装,冬季,2024,ins风,冰丝,白色,连衣裙,度假风",https://example.com/item/0029,4.98,986
T0030,2025夏季 法式棉短裤 黑色,短裤,2025,夏季,239.96,191.35,0.2026,1095,146,岛屿穿搭,"短裤,女装,夏季,2025,法式,棉,黑色",https://example.com/item/0030,4.67,905
T0031,2024秋季 韩版雪纺雪纺衫 卡其,雪纺衫,2024,秋季,287.72,199.54,0.3065,673,82,蔷薇工坊,"雪纺衫,女装,秋季,2024,韩版,雪纺,卡其,透气,飘逸",https://example.com/item/0031,4.48,3368
T0032,2025秋季 韩版真丝吊带裙 杏色,吊带裙,2025,秋季,357.5,105.59,0.7046,462,49,岛屿穿搭,"吊带裙,女装,秋季,2025,韩版,真丝,杏色,连衣裙,度假风",https://example.com/item/0032,4.79,2006
T0033,2025秋季 碎花真丝吊带裙 粉色,吊带裙,2025,秋季,324.58,112.64,0.653,1461,177,岛屿穿搭,"吊带裙,女装,秋季,2025,碎花,真丝,粉色,连衣裙,度假风",https://example.com/item/0033,4.9,5154
T0034,2024冬季 通勤冰丝半身裙 浅蓝,半身裙,2024,冬季,57.28,22.9,0.6002,859,148,蔷薇工坊,"半身裙,女装,冬季,2024,通勤,冰丝,浅蓝",https://example.com/item/0034,4.46,5188
T0035,2025夏季 冰丝针织阔腿裤 白色,阔腿裤,2025,夏季,355.96,157.32,0.558,1115,65,风铃女装,"阔腿裤,女装,夏季,2025,冰丝,针织,白色",https://example.com/item/0035,4.66,5901
T0036,2024冬季 通勤针织连衣裙 薄荷绿,连衣裙,2024,冬季,393.48,138.39,0.6483,1115,194,沐光女装,"连衣裙,女装,冬季,2024,通勤,针织,薄荷绿,连衣裙,度假风",https://example.com/item/0036,4.92,1156
T0037,2025春季 韩版真丝连衣裙 卡其,连衣裙,2025,春季,73.49,50.84,0.3082,878,196,轻语衣舍,"连衣裙,女装,春季,2025,韩版,真丝,卡其,连衣裙,度假风",https://example.com/item/0037,4.46,1897
T0038,2025夏季 气质牛仔防晒衫 卡其,防晒衫,2025,夏季,293.02,182.77,0.3763,186,135,轻语衣舍,"防晒衫,女装,夏季,2025,气质,牛仔,卡其,透气,防晒",https://example.com/item/0038,4.35,3996
T0039,2025冬季 轻薄冰丝吊带裙 薄荷绿,吊带裙,2025,冬季,340.8,159.63,0.5316,945,77,云朵衣橱,"吊带裙,女装,冬季,2025,轻薄,冰丝,薄荷绿,连衣裙,度假风",https://example.com/item/0039,4.37,4718
T0040,2025夏季 复古真丝针织开衫 雾霾蓝,针织开衫,2025,夏季,279.6,127.48,0.5441,948,33,岛屿穿搭,"针织开衫,女装,夏季,2025,复古,真丝,雾霾蓝",https://example.com/item/0040,4.73,3723
T0041,2025秋季 冰丝冰丝防晒衫 浅蓝,防晒衫,2025,秋季,100.57,31.04,0.6914,786,107,蔷薇工坊,"防晒衫,女装,秋季,2025,冰丝,冰丝,浅蓝,透气,防晒",https://example.com/item/0041,4.99,3675
T0042,2025秋季 轻薄真丝防晒衫 薄荷绿,防晒衫,2025,秋季,188.88,70.17,0.6285,2179,69,夏日衣集,"防晒衫,女装,秋季,2025,轻薄,真丝,薄荷绿,透气,防晒",https://example.com/item/0042,4.75,5358
T0043,2025夏季 碎花缎面防晒衫 白色,防晒衫,2025,夏季,136.22,109.79,0.194,552,70,云朵衣橱,"防晒衫,女装,夏季,2025,碎花,缎面,白色,透气,防晒",https://example.com/item/0043,4.57,4812
T0044,2025夏季 碎花缎面衬衫 薄荷绿,衬衫,2025,夏季,205.07,77.66,0.6213,1555,106,云朵衣橱,"衬衫,女装,夏季,2025,碎花,缎面,薄荷绿",https://example.com/item/0044,4.89,2711
T0045,2025夏季 爆款碎花度假 半身裙,半身裙,2025,夏季,233.89,59.32,0.7464,7848,53,晴空服饰,"2025,半身裙,夏季,女装,浅蓝,爆款,碎花,缎面",https://example.com/item/0045,4.39,2028
T0046,2024夏季 小个子牛仔衬衫 杏色,衬衫,2024,夏季,71.48,38.08,0.4673,951,146,蔷薇工坊,"衬衫,女装,夏季,2024,小个子,牛仔,杏色",https://example.com/item/0046,4.63,2506
T0047,2025夏季 碎花雪纺半身裙 薄荷绿,半身裙,2025,夏季,51.06,25.43,0.502,589,76,夏日衣集,"半身裙,女装,夏季,2025,碎花,雪纺,薄荷绿",https://example.com/item/0047,4.8,5123
T0048,2025秋季 碎花真丝吊带裙 雾霾蓝,吊带裙,2025,秋季,144.53,83.98,0.4189,709,43,蔷薇工坊,"吊带裙,女装,秋季,2025,碎花,真丝,雾霾蓝,连衣裙,度假风",https://example.com/item/0048,4.51,4019
T0049,2025秋季 韩版亚麻吊带裙 白色,吊带裙,2025,秋季,256.16,177.02,0.3089,1072,102,轻语衣舍,"吊带裙,女装,秋季,2025,韩版,亚麻,白色,连衣裙,度假风",https://example.com/item/0049,4.27,2583
T0050,2024秋季 度假针织短裤 浅蓝,短裤,2024,秋季,163.4,122.87,0.248,900,80,夏日衣集,"短裤,女装,秋季,2024,度假,针织,浅蓝",https://example.com/item/0050,4.5,4517
T0051,2024春季 复古雪纺吊带裙 白色,吊带裙,2024,春季,127.48,41.12,0.6774,384,72,南风小店,"吊带裙,女装,春季,2024,复古,雪纺,白色,连衣裙,度假风",https://example.com/item/0051,4.97,260
T0052,2025夏季 法式亚麻连衣裙 浅蓝,连衣裙,2025,夏季,214.75,75.36,0.6491,730,60,岛屿穿搭,"连衣裙,女装,夏季,2025,法式,亚麻,浅蓝,连衣裙,度假风",https://example.com/item/0052,4.96,2800
T0053,2025夏季 轻薄棉阔腿裤 杏色,阔腿裤,2025,夏季,86.83,25.7,0.704,815,110,晴空服饰,"阔腿裤,女装,夏季,2025,轻薄,棉,杏色",https://example.com/item/0053,4.45,4070
T0054,2025秋季 显瘦真丝吊带裙 黑色,吊带裙,2025,秋季,346.6,226.07,0.3477,2784,98,晴空服饰,"吊带裙,女装,秋季,2025,显瘦,真丝,黑色,连衣裙,度假风",https://example.com/item/0054,4.3,5903
T0055,2024冬季 冰丝针织连衣裙 黑色,连衣裙,2024,冬季,275.64,79.34,0.7122,1047,86,云朵衣橱,"连衣裙,女装,冬季,2024,冰丝,针织,黑色,连衣裙,度假风",https://example.com/item/0055,4.54,2951
T0056,2025夏季 ins风缎面吊带裙 杏色,吊带裙,2025,夏季,110.65,66.77,0.3966,283,88,轻语衣舍,"吊带裙,女装,夏季,2025,ins风,缎面,杏色,连衣裙,度假风",https://example.com/item/0056,4.72,3703
T0057,2025夏季 ins风冰丝衬衫 卡其,衬衫,2025,夏季,339.76,113.39,0.6663,930,308,蔷薇工坊,"衬衫,女装,夏季,2025,ins风,冰丝,卡其",https://example.com/item/0057,4.91,1478
T0058,2025夏季 通勤雪纺短裤 雾霾蓝,短裤,2025,夏季,112.64,46.35,0.5885,799,104,南风小店,"短裤,女装,夏季,2025,通勤,雪纺,雾霾蓝",https://example.com/item/0058,4.84,2055
T0059,2025夏季 法式真丝针织开衫 黑色,针织开衫,2025,夏季,301.03,175.47,0.4171,879,50,蔷薇工坊,"针织开衫,女装,夏季,2025,法式,真丝,黑色",https://example.com/item/0059,4.81,4149
T0060,2025春季 气质真丝短裤 薄荷绿,短裤,2025,春季,156.17,100.04,0.3594,1782,131,蔷薇工坊,"短裤,女装,春季,2025,气质,真丝,薄荷绿",https://example.com/item/0060,4.58,3194
T0061,2025夏季 通勤缎面吊带裙 粉色,吊带裙,2025,夏季,136.99,48.61,0.6452,1443,57,晴空服饰,"吊带裙,女装,夏季,2025,通勤,缎面,粉色,连衣裙,度假风",https://example.com/item/0061,4.35,734
T0062,2025夏季 小个子真丝衬衫 雾霾蓝,衬衫,2025,夏季,302.6,267.96,0.1145,2083,44,晴空服饰,"衬衫,女装,夏季,2025,小个子,真丝,雾霾蓝",https://example.com/item/0062,4.62,1712
T0063,2025夏季 通勤亚麻防晒衫 粉色,防晒衫,2025,夏季,296.81,106.4,0.6415,1276,269,海盐衣橱,"防晒衫,女装,夏季,2025,通勤,亚麻,粉色,透气,防晒",https://example.com/item/0063,4.24,346
T0064,2025春季 ins风缎面阔腿裤 黑色,阔腿裤,2025,春季,249.92,142.71,0.429,495,67,海盐衣橱,"阔腿裤,女装,春季,2025,ins风,缎面,黑色",https://example.com/item/0064,4.55,1122
T0065,2024冬季 显瘦棉连衣裙 薄荷绿,连衣裙,2024,冬季,74.93,50.22,0.3298,953,69,夏日衣集,"连衣裙,女装,冬季,2024,显瘦,棉,薄荷绿,连衣裙,度假风",https://example.com/item/0065,4.24,912
T0066,2025春季 小个子棉针织开衫 薄荷绿,针织开衫,2025,春季,257.64,170.93,0.3366,354,93,沐光女装,"针织开衫,女装,春季,2025,小个子,棉,薄荷绿",https://example.com/item/0066,4.82,2294
T0067,2024冬季 气质雪纺短裤 黑色,短裤,2024,冬季,267.93,118.98,0.5559,474,114,蔷薇工坊,"短裤,女装,冬季,2024,气质,雪纺,黑色",https://example.com/item/0067,4.26,1454
T0068,2024春季 度假缎面衬衫 雾霾蓝,衬衫,2024,春季,60.42,27.71,0.5414,517,195,晴空服饰,"衬衫,女装,春季,2024,度假,缎面,雾霾蓝",https://example.com/item/0068,4.43,5160
T0069,2025冬季 碎花真丝防晒衫 薄荷绿,防晒衫,2025,冬季,239.6,163.29,0.3185,561,76,风铃女装,"防晒衫,女装,冬季,2025,碎花,真丝,薄荷绿,透气,防晒",https://example.com/item/0069,4.93,4963
T0070,2024秋季 轻薄冰丝防晒衫 雾霾蓝,防晒衫,2024,秋季,213.04,99.82,0.5314,1462,48,风铃女装,"防晒衫,女装,秋季,2024,轻薄,冰丝,雾霾蓝,透气,防晒",https://example.com/item/0070,4.52,1648
T0071,2025春季 法式牛仔衬衫 卡其,衬衫,2025,春季,136.63,45.99,0.6634,1029,173,沐光女装,"衬衫,女装,春季,2025,法式,牛仔,卡其",https://example.com/item/0071,4.97,5019
T0072,2025春季 碎花冰丝针织开衫 白色,针织开衫,2025,春季,213.68,146.14,0.3161,342,98,岛屿穿搭,"针织开衫,女装,春季,2025,碎花,冰丝,白色",https://example.com/item/0072,4.93,1105
T0073,2025秋季 显瘦缎面针织开衫 卡其,针织开衫,2025,秋季,165.66,115.21,0.3045,1049,133,轻语衣舍,"针织开衫,女装,秋季,2025,显瘦,缎面,卡其",https://example.com/item/0073,4.89,1992
T0074,2025夏季 爆款通勤雪纺 短裤,短裤,2025,夏季,231.68,104.18,0.5503,6512,56,风铃女装,"2024,2025,ins风,冬季,夏季,女装,爆款,短裤,雪纺,雾霾蓝",https://example.com/item/0074,4.98,2436
T0075,2025春季 ins风缎面衬衫 薄荷绿,衬衫,2025,春季,114.65,57.82,0.4957,1228,104,海盐衣橱,"衬衫,女装,春季,2025,ins风,缎面,薄荷绿",https://example.com/item/0075,4.81,3759
T0076,2024夏季 韩版冰丝连衣裙 雾霾蓝,连衣裙,2024,夏季,91.5,80.83,0.1166,1043,107,夏日衣集,"连衣裙,女装,夏季,2024,韩版,冰丝,雾霾蓝,连衣裙,度假风",https://example.com/item/0076,4.69,1450
T0077,2024春季 纯欲牛仔雪纺衫 黑色,雪纺衫,2024,春季,396.29,335.27,0.154,597,101,蔷薇工坊,"雪纺衫,女装,春季,2024,纯欲,牛仔,黑色,透气,飘逸",https://example.com/item/0077,4.57,722
T0078,2025秋季 纯欲冰丝雪纺衫 薄荷绿,雪纺衫,2025,秋季,392.09,169.03,0.5689,1070,62,夏日衣集,"雪纺衫,女装,秋季,2025,纯欲,冰丝,薄荷绿,透气,飘逸",https://example.com/item/0078,4.64,2313
T0079,2025秋季 ins风棉针织开衫 粉色,针织开衫,2025,秋季,167.96,129.06,0.2316,2750,114,轻语衣舍,"针织开衫,女装,秋季,2025,ins风,棉,粉色",https://example.com/item/0079,4.41,35
T0080,2025夏季 冰丝缎面阔腿裤 杏色,阔腿裤,2025,夏季,237.5,117.32,0.506,439,124,夏日衣集,"阔腿裤,女装,夏季,2025,冰丝,缎面,杏色",https://example.com/item/0080,4.64,3269
T0081,2025秋季 亚麻真丝短裤 薄荷绿,短裤,2025,秋季,348.6,186.39,0.4653,500,133,蔷薇工坊,"短裤,女装,秋季,2025,亚麻,真丝,薄荷绿",https://example.com/item/0081,4.45,2848
T0082,2025夏季 ins风亚麻吊带裙 雾霾蓝,吊带裙,2025,夏季,93.19,81.87,0.1215,1799,59,海盐衣橱,"吊带裙,女装,夏季,2025,ins风,亚麻,雾霾蓝,连衣裙,度假风",https://example.com/item/0082,4.47,620
T0083,2024冬季 法式亚麻短裤 薄荷绿,短裤,2024,冬季,75.19,57.49,0.2354,1600,110,岛屿穿搭,"短裤,女装,冬季,2024,法式,亚麻,薄荷绿",https://example.com/item/0083,4.41,3747
T0084,2025秋季 ins风牛仔吊带裙 卡其,吊带裙,2025,秋季,354.33,107.1,0.6977,1470,232,夏日衣集,"吊带裙,女装,秋季,2025,ins风,牛仔,卡其,连衣裙,度假风",https://example.com/item/0084,4.25,3794
T0085,2025秋季 度假棉阔腿裤 黑色,阔腿裤,2025,秋季,107.23,49.93,0.5344,774,61,夏日衣集,"阔腿裤,女装,秋季,2025,度假,棉,黑色",https://example.com/item/0085,4.22,1959
T0086,2024秋季 度假亚麻连衣裙 浅蓝,连衣裙,2024,秋季,193.22,135.78,0.2973,526,59,云朵衣橱,"连衣裙,女装,秋季,2024,度假,亚麻,浅蓝,连衣裙,度假风",https://example.com/item/0086,4.34,1066
T0087,2025夏季 小个子缎面针织开衫 杏色,针织开衫,2025,夏季,210.4,92.04,0.5625,857,106,蔷薇工坊,"针织开衫,女装,夏季,2025,小个子,缎面,杏色",https://example.com/item/0087,4.4,76
T0088,2025夏季 高腰棉短裤 雾霾蓝,短裤,2025,夏季,394.68,183.71,0.5345,1059,136,南风小店,"短裤,女装,夏季,2025,高腰,棉,雾霾蓝",https://example.com/item/0088,4.97,4148
T0089,2025夏季 度假缎面短裤 黑色,短裤,2025,夏季,182.48,91.7,0.4975,904,186,蔷薇工坊,"短裤,女装,夏季,2025,度假,缎面,黑色",https://example.com/item/0089,4.44,4201
T0090,2025夏季 气质雪纺连衣裙 白色,连衣裙,2025,夏季,309.81,246.72,0.2036,766,350,沐光女装,"连衣裙,女装,夏季,2025,气质,雪纺,白色,连衣裙,度假风",https://example.com/item/0090,4.92,4658
T0091,2025夏季 冰丝真丝半身裙 粉色,半身裙,2025,夏季,268.89,225.89,0.1599,1306,58,岛屿穿搭,"半身裙,女装,夏季,2025,冰丝,真丝,粉色",https://example.com/item/0091,4.72,1867
T0092,2024秋季 亚麻亚麻短裤 黑色,短裤,2024,秋季,163.35,87.82,0.4624,472,114,晴空服饰,"短裤,女装,秋季,2024,亚麻,亚麻,黑色",https://example.com/item/0092,4.36,4723
T0093,2025冬季 ins风亚麻短袖T恤 粉色,短袖T恤,2025,冬季,387.58,179.45,0.537,785,128,夏日衣集,"短袖T恤,女装,冬季,2025,ins风,亚麻,粉色",https://example.com/item/0093,4.9,4829
T0094,2025春季 小个子牛仔短裤 卡其,短裤,2025,春季,325.74,94.02,0.7114,1192,86,风铃女装,"短裤,女装,春季,2025,小个子,牛仔,卡其",https://example.com/item/0094,4.63,2739
T0095,2025秋季 通勤棉阔腿裤 浅蓝,阔腿裤,2025,秋季,57.76,47.84,0.1717,540,42,夏日衣集,"阔腿裤,女装,秋季,2025,通勤,棉,浅蓝",https://example.com/item/0095,4.65,5493
T0096,2025夏季 复古冰丝半身裙 薄荷绿,半身裙,2025,夏季,97.92,84.87,0.1333,686,138,风铃女装,"半身裙,女装,夏季,2025,复古,冰丝,薄荷绿",https://example.com/item/0096,4.44,2965
T0097,2024夏季 度假缎面防晒衫 卡其,防晒衫,2024,夏季,195.69,144.85,0.2598,1020,48,云朵衣橱,"防晒衫,女装,夏季,2024,度假,缎面,卡其,透气,防晒",https://example.com/item/0097,4.32,2501
T0098,2025夏季 气质雪纺防晒衫 卡其,防晒衫,2025,夏季,204.18,177.51,0.1306,996,109,蔷薇工坊,"防晒衫,女装,夏季,2025,气质,雪纺,卡其,透气,防晒",https://example.com/item/0098,4.88,614
T0099,2025冬季 通勤雪纺短袖T恤 薄荷绿,短袖T恤,2025,冬季,115.43,41.06,0.6443,528,97,晴空服饰,"短袖T恤,女装,冬季,2025,通勤,雪纺,薄荷绿",https://example.com/item/0099,4.88,2739
T0100,2025夏季 法式雪纺半身裙 卡其,半身裙,2025,夏季,395.09,303.4,0.2321,929,50,蔷薇工坊,"半身裙,女装,夏季,2025,法式,雪纺,卡其",https://example.com/item/0100,4.36,4982
T0101,2024夏季 ins风真丝衬衫 卡其,衬衫,2024,夏季,325.03,211.11,0.3505,1112,119,岛屿穿搭,"衬衫,女装,夏季,2024,ins风,真丝,卡其",https://example.com/item/0101,4.42,5904
T0102,2025夏季 爆款小个子高腰 雪纺衫,雪纺衫,2025,夏季,108.86,23.79,0.7815,3139,35,海盐衣橱,"2025,夏季,女装,显瘦,杏色,爆款,秋季,透气,雪纺,雪纺衫,飘逸",https://example.com/item/0102,4.67,114
T0103,2024冬季 纯欲棉阔腿裤 黑色,阔腿裤,2024,冬季,205.9,103.87,0.4955,392,56,夏日衣集,"阔腿裤,女装,冬季,2024,纯欲,棉,黑色",https://example.com/item/0103,4.67,2722
T0104,2025春季 碎花冰丝半身裙 雾霾蓝,半身裙,2025,春季,70.29,40.55,0.4231,1222,116,海盐衣橱,"半身裙,女装,春季,2025,碎花,冰丝,雾霾蓝",https://example.com/item/0104,4.52,4122
T0105,2025夏季 韩版棉短裤 卡其,短裤,2025,夏季,100.92,36.15,0.6418,1222,500,沐光女装,"短裤,女装,夏季,2025,韩版,棉,卡其",https://example.com/item/0105,4.7,3520
T0106,2025夏季 气质缎面短袖T恤 薄荷绿,短袖T恤,2025,夏季,326.58,114.61,0.6491,1264,158,风铃女装,"短袖T恤,女装,夏季,2025,气质,缎面,薄荷绿",https://example.com/item/0106,4.72,5268
T0107,2025夏季 复古真丝衬衫 薄荷绿,衬衫,2025,夏季,338.6,178.51,0.4728,1591,124,南风小店,"衬衫,女装,夏季,2025,复古,真丝,薄荷绿",https://example.com/item/0107,4.78,1889
T0108,2025夏季 高腰缎面短袖T恤 黑色,短袖T恤,2025,夏季,340.12,114.89,0.6622,743,131,风铃女装,"短袖T恤,女装,夏季,2025,高腰,缎面,黑色",https://example.com/item/0108,4.28,4438
T0109,2025夏季 纯欲针织雪纺衫 黑色,雪纺衫,2025,夏季,172.76,119.64,0.3075,564,79,轻语衣舍,"雪纺衫,女装,夏季,2025,纯欲,针织,黑色,透气,飘逸",https://example.com/item/0109,4.8,5211
T0110,2025夏季 通勤棉连衣裙 浅蓝,连衣裙,2025,夏季,278.86,116.85,0.581,671,93,岛屿穿搭,"连衣裙,女装,夏季,2025,通勤,棉,浅蓝,连衣裙,度假风",https://example.com/item/0110,4.29,5075
T0111,2024秋季 轻薄真丝短袖T恤 薄荷绿,短袖T恤,2024,秋季,390.09,307.17,0.2126,3600,35,云朵衣橱,"短袖T恤,女装,秋季,2024,轻薄,真丝,薄荷绿",https://example.com/item/0111,4.69,3863
T0112,2025夏季 亚麻冰丝连衣裙 白色,连衣裙,2025,夏季,144.64,108.87,0.2473,1355,40,岛屿穿搭,"连衣裙,女装,夏季,2025,亚麻,冰丝,白色,连衣裙,度假风",https://example.com/item/0112,4.94,2119
T0113,2025夏季 度假棉雪纺衫 杏色,雪纺衫,2025,夏季,81.12,49.39,0.3911,676,155,海盐衣橱,"雪纺衫,女装,夏季,2025,度假,棉,杏色,透气,飘逸",https://example.com/item/0113,4.5,2732
T0114,2025秋季 碎花棉雪纺衫 白色,雪纺衫,2025,秋季,104.09,69.02,0.3369,933,52,岛屿穿搭,"雪纺衫,女装,秋季,2025,碎花,棉,白色,透气,飘逸",https://example.com/item/0114,4.74,1647
T0115,2025夏季 气质真丝吊带裙 黑色,吊带裙,2025,夏季,199.47,90.88,0.5444,584,126,南风小店,"吊带裙,女装,夏季,2025,气质,真丝,黑色,连衣裙,度假风",https://example.com/item/0115,4.74,2930
T0116,2024冬季 轻薄雪纺阔腿裤 白色,阔腿裤,2024,冬季,154.5,63.49,0.5891,579,100,蔷薇工坊,"阔腿裤,女装,冬季,2024,轻薄,雪纺,白色",https://example.com/item/0116,4.31,1548
T0117,2024冬季 亚麻牛仔短袖T恤 杏色,短袖T恤,2024,冬季,182.07,130.41,0.2837,922,64,岛屿穿搭,"短袖T恤,女装,冬季,2024,亚麻,牛仔,杏色",https://example.com/item/0117,4.6,5003
T0118,2024春季 度假雪纺短袖T恤 雾霾蓝,短袖T恤,2024,春季,350.74,223.41,0.363,3249,123,风铃女装,"短袖T恤,女装,春季,2024,度假,雪纺,雾霾蓝",https://example.com/item/0118,4.66,4262
T0119,2024冬季 法式针织吊带裙 杏色,吊带裙,2024,冬季,210.03,148.61,0.2924,266,98,沐光女装,"吊带裙,女装,冬季,2024,法式,针织,杏色,连衣裙,度假风",https://example.com/item/0119,4.49,2631
